nodes,layers,val_loss,val_acc
32,1,2.508281947181483e-05,2.508281947181483e-05
32,2,3.362131883477559e-05,3.362131883477559e-05
32,3,3.000396316652075e-05,3.000396316652075e-05
32,4,9.216373282903252e-05,9.216373282903252e-05
32,5,6.620575186389033e-05,6.620575186389033e-05
32,6,5.663523569680928e-05,5.663523569680928e-05
32,7,0.008483695176740488,0.008483695176740488
32,8,0.00848450573782126,0.00848450573782126
64,1,1.398326873770981e-05,1.398326873770981e-05
64,2,1.365625404928107e-05,1.365625404928107e-05
64,3,1.371705301218234e-05,1.371705301218234e-05
64,4,1.941789796113708e-05,1.941789796113708e-05
64,5,1.676340075175089e-05,1.676340075175089e-05
64,6,2.642382090319491e-05,2.642382090319491e-05
64,7,2.891262322788992e-05,2.891262322788992e-05
64,8,4.538210162406488e-05,4.538210162406488e-05
96,1,1.549231321751861e-05,1.549231321751861e-05
96,2,7.370445191987701e-06,7.370445191987701e-06
96,3,1.233557904491872e-05,1.233557904491872e-05
96,4,9.62198880318153e-06,9.62198880318153e-06
96,5,2.194992880720834e-05,2.194992880720834e-05
96,6,3.01149833224675e-05,3.01149833224675e-05
96,7,2.697428024995523e-05,2.697428024995523e-05
96,8,2.585034954314497e-05,2.585034954314497e-05
128,1,1.187947089506668e-05,1.187947089506668e-05
128,2,9.809816284749623e-06,9.809816284749623e-06
128,3,2.000243137531686e-05,2.000243137531686e-05
128,4,1.080952922295962e-05,1.080952922295962e-05
128,5,1.226360728608034e-05,1.226360728608034e-05
128,6,1.167477280649196e-05,1.167477280649196e-05
128,7,2.549987913793995e-05,2.549987913793995e-05
128,8,1.180345504638223e-05,1.180345504638223e-05
160,1,1.158846201914934e-05,1.158846201914934e-05
160,2,6.693283575302866e-06,6.693283575302866e-06
160,3,6.586815310410679e-06,6.586815310410679e-06
160,4,2.02574900911367e-05,2.02574900911367e-05
160,5,1.639173268856775e-05,1.639173268856775e-05
160,6,1.33215001456154e-05,1.33215001456154e-05
160,7,9.456269871017347e-06,9.456269871017347e-06
160,8,1.69877551213306e-05,1.69877551213306e-05
192,1,1.113439930122695e-05,1.113439930122695e-05
192,2,6.159787203397996e-06,6.159787203397996e-06
192,3,1.269472403735216e-05,1.269472403735216e-05
192,4,1.671041609153603e-05,1.671041609153603e-05
192,5,1.197612541978915e-05,1.197612541978915e-05
192,6,1.107342378808036e-05,1.107342378808036e-05
192,7,9.933509491453324e-06,9.933509491453324e-06
192,8,1.579255158070564e-05,1.579255158070564e-05
