prox_x,prox_y,dist_x,dist_y
3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi))),3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) + 0.0713312825656883 - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 0.274226852152576 + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi)))
3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi))),3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))) + 0.517021379870858,-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 0.411276374903962 + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi)))
3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi))),3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))) + 1.01746610690262,-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 0.0281203532074415 + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi)))
3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi))),3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))) + 1.03859341578343,-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) - 0.736319572482919 + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi)))
3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))),-3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi))),3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnels(1.08874508203644/sqrt(pi))) - 3.42753081381843*sqrt(pi)*(-0.784830465168345*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960271*fresnels(11.0084224961462/sqrt(pi))) + 8.53469739086207,-26.6675634516244 - 3.42753081381843*sqrt(pi)*(0.619710529960271*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168345*fresnels(11.0084224961462/sqrt(pi))) + 3.42753081381843*sqrt(pi)*(0.784830465168345*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960271*fresnelc(1.08874508203644/sqrt(pi)))
3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi))),3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 0.418087616307034 - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) - 1.20251633719497 + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi)))
3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi))),3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 0.844728533972098 - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) - 0.567857144758639 + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi)))
3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi))),3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 0.659740631917775 - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 0.0346650024440506 + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi)))
3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi))),3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnels(1.08874508203644/sqrt(pi))) - 0.217295750239359 - 3.22591135418205*sqrt(pi)*(-0.784830465168349*fresnelc(11.0084224961462/sqrt(pi)) + 0.619710529960265*fresnels(11.0084224961462/sqrt(pi))),-3.22591135418205*sqrt(pi)*(0.619710529960265*fresnelc(11.0084224961462/sqrt(pi)) + 0.784830465168349*fresnels(11.0084224961462/sqrt(pi))) + 0.181854544188181 + 3.22591135418205*sqrt(pi)*(0.784830465168349*fresnels(1.08874508203644/sqrt(pi)) + 0.619710529960265*fresnelc(1.08874508203644/sqrt(pi)))
-3.95777167602761*sqrt(pi)*(-0.108368047354593*fresnels(9.53357353725474/sqrt(pi)) + 0.994110842065689*fresnelc(9.53357353725474/sqrt(pi))) + 3.95777167602761*sqrt(pi)*(-0.108368047354593*fresnels(0.942880899288931/sqrt(pi)) + 0.994110842065689*fresnelc(0.942880899288931/sqrt(pi))),3.95777167602761*sqrt(pi)*(-0.994110842065689*fresnels(0.942880899288931/sqrt(pi)) - 0.108368047354593*fresnelc(0.942880899288931/sqrt(pi))) - 3.95777167602761*sqrt(pi)*(-0.994110842065689*fresnels(9.53357353725474/sqrt(pi)) - 0.108368047354593*fresnelc(9.53357353725474/sqrt(pi))),-3.95777167602761*sqrt(pi)*(-0.108368047354593*fresnels(9.53357353725474/sqrt(pi)) + 0.994110842065689*fresnelc(9.53357353725474/sqrt(pi))) + 0.124136874225513 + 3.95777167602761*sqrt(pi)*(-0.108368047354593*fresnels(0.942880899288931/sqrt(pi)) + 0.994110842065689*fresnelc(0.942880899288931/sqrt(pi))),3.95777167602761*sqrt(pi)*(-0.994110842065689*fresnels(0.942880899288931/sqrt(pi)) - 0.108368047354593*fresnelc(0.942880899288931/sqrt(pi))) - 0.254712690636914 - 3.95777167602761*sqrt(pi)*(-0.994110842065689*fresnels(9.53357353725474/sqrt(pi)) - 0.108368047354593*fresnelc(9.53357353725474/sqrt(pi)))
