proxtarg,disttarg,mt1,mt2,mt3,mt4,proxtdl,disttdl,prox_ang,dist_ang,tip_ang
-60,-60,-5.16E-16,-8.424633173,-1.595785749,-1.595785749,-2.256781849,-8.424633173,-61.35436212,-65.61903888,-126.973401
-60,-45,-4.41E-16,-7.208592798,-1.826247728,-1.826247728,-2.582704305,-7.208592798,-54.6897878,-61.40025784,-116.0900456
-60,-30,-3.67E-16,-5.992552424,-2.056709707,-2.056709707,-2.908626762,-5.992552424,-51.98878556,-44.04644768,-96.03523324
-60,-15,-2.92E-16,-4.776512049,-2.287171686,-2.287171686,-3.234549218,-4.776512049,-50.13808648,-28.80844558,-78.94653205
-60,0,-2.18E-16,-3.560471674,-2.517633665,-2.517633665,-3.560471674,-3.560471674,-49.39139178,-12.13447183,-61.5258636
-60,15,-1.44E-16,-2.344431299,-2.748095644,-2.748095644,-3.88639413,-2.344431299,-48.39674804,0.877441246,-47.51930679
-60,30,-6.91E-17,-1.128390925,-2.978557623,-2.978557623,-4.212316586,-1.128390925,-47.26653957,10.94701901,-36.31952057
-60,45,5.37E-18,0.08764945,-3.209019602,-3.209019602,-4.538239043,0.08764945,-46.60349457,20.79569542,-25.80779915
-60,60,7.98E-17,1.303689825,-3.439481581,-3.439481581,-4.864161499,1.303689825,-44.80426381,32.47456626,-12.32969755
-45,-60,-4.63E-16,-7.561016786,-0.94763792,-0.94763792,-1.340162399,-7.561016786,-49.75885215,-62.96173684,-112.720589
-45,-45,-3.88E-16,-6.338351028,-1.182784752,-1.182784752,-1.672710238,-6.338351028,-43.01353283,-56.05704201,-99.07057485
-45,-30,-3.13E-16,-5.115685271,-1.417931584,-1.417931584,-2.005258077,-5.115685271,-40.7418287,-42.33947982,-83.08130852
-45,-15,-2.38E-16,-3.893019513,-1.653078417,-1.653078417,-2.337805916,-3.893019513,-38.7992112,-25.42260574,-64.22181694
-45,0,-1.64E-16,-2.670353756,-1.888225249,-1.888225249,-2.670353756,-2.670353756,-37.15451912,-9.843889415,-46.99840854
