phor_rev,EXP_Prox,dhor_rev,EXP_Dist,prox_ang,dist_ang,tip_ang
-18.05276277,25.52504834,-44.37733948,20.41783865,-61.35436212,-65.61903888,-126.973401
-16.15564442,27.35322563,-43.1376466,26.82902691,-54.6897878,-61.40025784,-116.0900456
-15.56810884,27.93012642,-42.51373157,33.46928657,-51.98878556,-44.04644768,-96.03523324
-15.18297109,28.26535579,-40.88091771,38.70182669,-50.13808648,-28.80844558,-78.94653205
-15.08733365,28.31789309,-38.6223911,43.25499214,-49.39139178,-12.13447183,-61.5258636
-14.83513635,28.36212466,-36.00702029,46.64505597,-48.39674804,0.8774412458,-47.51930679
-14.52545924,28.39587929,-33.34349953,49.02901567,-47.26653957,10.94701901,-36.31952057
-14.16877319,28.37640369,-30.3753319,50.90751071,-46.60349457,20.79569542,-25.80779915
-13.55473066,28.44162284,-25.91458776,52.93551208,-44.80426381,32.47456626,-12.32969755
-15.24433239,27.81341635,-42.18798559,28.832673,-49.75885215,-62.96173684,-112.720589
-13.34540227,29.36707323,-39.78207622,35.77762688,-43.01353283,-56.05704201,-99.07057485
-12.82812054,29.73357624,-38.10700016,40.9499785,-40.7418287,-42.33947982,-83.08130852
-12.31318187,30.08724728,-34.98383563,46.34731754,-38.7992112,-25.42260574,-64.22181694
-11.88509603,30.36479865,-31.21803746,50.43928197,-37.15451912,-9.843889415,-46.99840854
-11.86475996,30.24165976,-28.03398573,52.9889536,-37.16992209,5.260683364,-31.90923873
-11.77229632,30.10574297,-25.61771028,54.24877764,-36.976222,14.58577878,-22.39044322
-11.31794475,30.0775283,-21.54624073,55.72510557,-35.8273488,25.77181075,-10.05553805
-10.40157622,30.20683672,-15.34773881,56.85164724,-33.02788523,39.81179958,6.783914343
-11.60835094,29.73747145,-37.65013483,37.58672394,-36.5220678,-61.42427723,-97.94634502
-9.857240198,30.947413,-34.05635081,43.95373272,-30.40343321,-53.0023201,-83.40575331
-9.385852744,31.37230213,-31.0811932,48.68114685,-28.3753464,-38.47292789,-66.84827429
-8.96009378,31.56148478,-27.14053796,52.86307154,-26.92075262,-22.21692697,-49.13767958
-8.704403623,31.7220639,-22.69352729,55.89058236,-26.09684662,-5.290453172,-31.3872998
-8.522329572,31.73454809,-19.06572321,57.51119036,-25.53138582,7.708209939,-17.82317588
-8.355802335,31.61285935,-15.8056815,58.32580269,-25.10099984,18.40103827,-6.699961568
-7.79582524,31.51348306,-10.57351451,58.78860492,-23.59357217,31.89105156,8.297479392
-7.273459656,31.41397855,-5.60404723,58.22849574,-22.15821875,45.02687455,22.8686558
-7.843245444,31.25549308,-31.14281547,45.48824012,-23.37998003,-58.85831112,-82.23829115
-6.40552314,31.9491037,-27.01660476,50.40737983,-18.54528504,-50.26772175,-68.81300679
-5.760911187,32.35847313,-22.67434092,54.59171237,-16.20572525,-35.3021896,-51.50791485
-4.907072659,32.68409946,-16.84762692,58.0147181,-13.41473083,-19.27593821,-32.69066904
-4.774307134,32.76648113,-12.01602449,59.70786074,-13.00827871,-2.196969525,-15.20524823
-4.939395789,32.7346298,-8.908794147,60.19249691,-13.66281191,10.95394967,-2.708862243
-4.741914979,32.59342296,-5.219301768,60.21932759,-12.96108594,22.23711326,9.276027314
-3.946789687,32.43567672,0.5392841973,59.27248523,-10.65873797,36.42884945,25.77011148
-3.356686734,32.2284094,5.033013564,57.56472229,-8.805911627,48.4261042,39.62019257
-3.262505276,32.19161945,-21.69103385,52.44055077,-8.49627513,-56.54487727,-65.0411524
-2.199003434,32.49204178,-17.26440705,55.8827034,-4.612218801,-47.92708118,-52.53929998
-1.71608926,32.72968505,-12.36392196,58.78839145,-2.894368702,-32.55295396,-35.44732266
-1.078890972,33.00610659,-6.524918114,60.56907626,-0.9959741363,-16.60858814,-17.60456227
-0.7133796904,33.13260166,-1.112554059,61.0894148,-0.09181582313,-0.0337033868,-0.1255192099
-0.5831765335,33.16759827,2.821205956,60.67990997,0.3600652408,12.72358214,13.08364738
-0.3792206589,33.04034982,7.096453136,59.42460812,0.9503796304,26.62885112,27.57923075
0.2141502934,32.75247437,11.40723329,57.46178138,2.820973158,38.2977054,41.11867855
1.720967267,32.31001946,16.78218473,54.43669668,6.612039456,48.78658962,55.39862908
2.240198184,32.29121133,-9.574673657,56.90200147,8.639280754,-57.2744388,-48.63515805
2.536444042,32.56346383,-5.569999532,59.03417463,9.726657021,-45.30759845,-35.58094143
2.98233229,32.62148559,-0.2647804022,60.52359067,11.45831456,-30.6165614,-19.15824684
3.5545739,32.6899571,5.584055872,60.78381011,13.28050218,-15.08624719,-1.805745012
3.744240507,32.76537828,10.61024165,59.95297128,13.96432722,1.238933546,15.20326076
4.109468568,32.77054742,15.24555361,58.18933034,15.16712215,15.68786789,30.85499004
4.479114196,32.59459038,18.84882675,56.03935162,16.18167062,27.34860176,43.53027238
5.467271461,32.09276443,23.44451029,52.47536175,19.36322113,38.98442007,58.3476412
6.452177209,31.46664188,27.2448976,48.25416738,22.7010221,49.95762075,72.65864285
6.211379729,31.64426772,1.118562153,58.35887014,21.45575265,-53.70867903,-32.25292638
6.694459852,31.71231554,6.346010317,59.4262823,23.86624157,-41.6521785,-17.78593692
6.901057475,31.81256468,10.96058831,59.57354354,24.55559666,-27.36196516,-2.806368502
7.338786114,31.78540553,16.60673973,58.43577183,25.99706463,-11.24960372,14.74746092
7.609473775,31.78892632,20.87516524,56.52739525,26.65671374,3.373423312,30.03013705
8.039819496,31.6962842,25.00710592,53.7313334,27.87029004,17.49398014,45.36427019
8.871388386,31.39888454,29.01506197,50.01445156,30.66731627,29.13426139,59.80157766
9.698241124,30.77119522,32.30346255,45.68882564,33.51157373,40.5388287,74.05040243
11.01570648,29.72517248,35.71545028,39.58114482,38.49695309,52.17123848,90.66819158
9.921370975,30.30435418,12.09726365,57.34434474,34.63485493,-50.1062157,-15.47136076
10.38861495,30.34317745,17.46483637,57.05462243,37.02542033,-37.56369839,-0.5382780606
10.65970053,30.39992224,22.26940996,55.87429158,37.90907546,-22.6766602,15.23241526
10.97648352,30.26321799,26.42972512,53.8609212,39.05068975,-9.488948268,29.56174148
11.27804538,30.20406638,30.38219042,50.81215108,39.59362025,6.292892425,45.88651267
11.48503242,30.14367915,33.13500944,47.65916375,39.90312913,19.80780118,59.71093031
12.40110966,29.67236657,36.35315218,43.0230607,42.90485437,31.47790342,74.38275779
13.99345281,28.43633195,39.88705355,35.90595045,49.06786924,43.56031688,92.62818612
14.78834615,27.4770689,41.0948246,30.32661722,52.85686579,54.20062622,107.057492
13.55744145,28.07656638,23.78840009,53.50524799,49.00455291,-45.57793394,3.42661897
13.95755534,28.18988699,28.33064724,51.87517881,50.71989075,-33.23658272,17.48330803
14.0824996,28.35959917,32.04065216,49.80710913,50.99500183,-18.90540441,32.08959742
14.01003776,28.52974952,34.47770858,47.72375032,50.40545052,-5.933538674,44.47191185
14.39577998,28.29608975,37.66098046,43.99326083,51.68019865,8.129130725,59.80932937
14.78888154,28.0333442,39.95468704,39.9686575,52.54486789,21.44321694,73.98808483
15.48947346,27.45879884,41.92754175,34.5518945,55.01715576,35.15117078,90.16832654
17.07118149,25.96627091,43.89528992,26.74520803,61.75747206,46.31828593,108.075758
17.98540651,24.64313788,44.09346825,20.70650761,66.83450064,55.46063959,122.2951402
