proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td
-60.0,-60.0,-2.256781849,-8.424633173,-61.35436212,-65.61903888,-2.34568603270256,-8.33572898950273
-60.0,-45.0,-2.582704305,-7.208592798,-54.6897878,-61.40025784,-2.64938244304403,-7.14191466064416
-60.0,-30.0,-2.908626762,-5.992552424,-51.98878556,-44.04644768,-2.95307885338550,-5.94810033178558
-60.0,-15.0,-3.234549218,-4.776512049,-50.13808648,-28.80844558,-3.25677526372696,-4.75428600292701
-60.0,0.0,-3.560471674,-3.560471674,-49.39139178,-12.13447183,-3.56047167406843,-3.56047167406843
-60.0,15.0,-3.88639413,-2.344431299,-48.39674804,0.877441246,-3.91271596380288,-2.31810946581688
-60.0,30.0,-4.212316586,-1.128390925,-47.26653957,10.94701901,-4.26496025353732,-1.07574725756533
-60.0,45.0,-4.538239043,0.08764945,-46.60349457,20.79569542,-4.61720454327177,0.166614950686228
-60.0,60.0,-4.864161499,1.303689825,-44.80426381,32.47456626,-4.96944883300621,1.40897715893778
-45.0,-60.0,-1.340162399,-7.561016786,-49.75885215,-62.96173684,-1.42917141405756,-7.47200777111352
-45.0,-45.0,-1.672710238,-6.338351028,-43.01353283,-56.05704201,-1.73946699943100,-6.27159426722297
-45.0,-30.0,-2.005258077,-5.115685271,-40.7418287,-42.33947982,-2.04976258480444,-5.07118076333242
-45.0,-15.0,-2.337805916,-3.893019513,-38.7992112,-25.42260574,-2.36005817017788,-3.87076725944187
-45.0,0.0,-2.670353756,-2.670353756,-37.15451912,-9.843889415,-2.67035375555132,-2.67035375555132
-45.0,15.0,-3.002901595,-1.447687998,-37.16992209,5.260683364,-3.01706025046950,-1.43352934211604
-45.0,30.0,-3.335449434,-0.22502224,-36.976222,14.58577878,-3.36376674538767,-0.196704928680758
-45.0,45.0,-3.667997273,0.997643517,-35.8273488,25.77181075,-3.71047324030585,1.04011948475453
-45.0,60.0,-4.000545112,2.220309275,-33.02788523,39.81179958,-4.05717973522403,2.27694389818981
-30.0,-60.0,-0.424301078,-6.696642271,-36.5220678,-61.42427723,-0.513263298392953,-6.60768004974391
-30.0,-45.0,-0.763284767,-5.467540662,-30.40343321,-53.0023201,-0.830006433053269,-5.40081899656649
-30.0,-30.0,-1.102268457,-4.238439054,-28.3753464,-38.47292789,-1.14674956771358,-4.19395794338906
-30.0,-15.0,-1.441252147,-3.009337445,-26.92075262,-22.21692697,-1.46349270237390,-2.98709689021164
-30.0,0.0,-1.780235837,-1.780235837,-26.09684662,-5.290453172,-1.78023583703422,-1.78023583703422
-30.0,15.0,-2.119219527,-0.551134229,-25.53138582,7.708209939,-2.12125291139102,-0.549100844160303
-30.0,30.0,-2.458203217,0.67796738,-25.10099984,18.40103827,-2.46226998574783,0.682034148713610
-30.0,45.0,-2.797186907,1.907068988,-23.59357217,31.89105156,-2.80328706010463,1.91316914158752
-30.0,60.0,-3.136170596,3.136170596,-22.15821875,45.02687455,-3.14430413446144,3.14430413446143
-15.0,-60.0,0.490802115,-5.831509626,-23.37998003,-58.85831112,0.402038314291248,-5.74274582539389
-15.0,-45.0,0.145572107,-4.596161699,-18.54528504,-50.26772175,0.0789992560891593,-4.52958884867470
