proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td
-60.0,-60.0,-2.256781849,-8.424633173,-61.35436212,-65.61903888,-1.71657193392931,-7.12094334813686
-60.0,-45.0,-2.582704305,-7.208592798,-54.6897878,-61.40025784,-2.17754686896409,-6.23082542961976
-60.0,-30.0,-2.908626762,-5.992552424,-51.98878556,-44.04644768,-2.63852180399887,-5.34070751110265
-60.0,-15.0,-3.234549218,-4.776512049,-50.13808648,-28.80844558,-3.09949673903365,-4.45058959258554
-60.0,0.0,-3.560471674,-3.560471674,-49.39139178,-12.13447183,-3.56047167406843,-3.56047167406843
-60.0,15.0,-3.88639413,-2.344431299,-48.39674804,0.877441246,-4.14339475713085,-2.67035375555132
-60.0,30.0,-4.212316586,-1.128390925,-47.26653957,10.94701901,-4.72631784019327,-1.78023583703422
-60.0,45.0,-4.538239043,0.08764945,-46.60349457,20.79569542,-5.30924092325569,-0.890117918517107
-60.0,60.0,-4.864161499,1.303689825,-44.80426381,32.47456626,-5.89216400631811,0
-45.0,-60.0,-1.340162399,-7.561016786,-49.75885215,-62.96173684,-0.764944841202247,-6.23082542961976
-45.0,-45.0,-1.672710238,-6.338351028,-43.01353283,-56.05704201,-1.24129706978952,-5.34070751110265
-45.0,-30.0,-2.005258077,-5.115685271,-40.7418287,-42.33947982,-1.71764929837679,-4.45058959258554
-45.0,-15.0,-2.337805916,-3.893019513,-38.7992112,-25.42260574,-2.19400152696405,-3.56047167406843
-45.0,0.0,-2.670353756,-2.670353756,-37.15451912,-9.843889415,-2.67035375555132,-2.67035375555132
-45.0,15.0,-3.002901595,-1.447687998,-37.16992209,5.260683364,-3.23826537866196,-1.78023583703422
-45.0,30.0,-3.335449434,-0.22502224,-36.976222,14.58577878,-3.80617700177259,-0.890117918517108
-45.0,45.0,-3.667997273,0.997643517,-35.8273488,25.77181075,-4.37408862488322,0
-45.0,60.0,-4.000545112,2.220309275,-33.02788523,39.81179958,-4.94200024799385,0.890117918517107
-30.0,-60.0,-0.424301078,-6.696642271,-36.5220678,-61.42427723,0.186636426388112,-5.34070751110265
-30.0,-45.0,-0.763284767,-5.467540662,-30.40343321,-53.0023201,-0.305081639467470,-4.45058959258554
-30.0,-30.0,-1.102268457,-4.238439054,-28.3753464,-38.47292789,-0.796799705323052,-3.56047167406843
-30.0,-15.0,-1.441252147,-3.009337445,-26.92075262,-22.21692697,-1.28851777117863,-2.67035375555132
-30.0,0.0,-1.780235837,-1.780235837,-26.09684662,-5.290453172,-1.78023583703422,-1.78023583703422
