TDL,std-x,rev-x,nup-x,std-y,rev-y,nup-y
-8.75,1.411793068,1.90286388,1.490081443,0.775725462,-2.27164206,-1.773074495
-7.5,-0.813432312,-0.544662532,-0.903192479,3.257688026,-0.345335238,-0.220037134
-6.25,-2.457929581,-2.1687469,-2.291486169,3.12090937,0.956956683,0.532371852
-5,-1.808456833,-2.47334232,-2.407070638,1.08587636,1.274000292,0.727019654
-3.75,-0.920601063,-1.465961927,-1.167085744,0.283285385,0.204464184,-0.184884607
-2.5,-0.380043385,-1.086441812,-0.278083997,0.247406722,-0.013646252,-0.48733598
-1.25,-0.023084248,-0.356205898,0.073488758,0.231890192,-0.202333789,-0.265887298
0,-1.22417005,0.928547914,1.22318668,0.303670184,-0.142212752,-0.112103341
1.25,-0.156058699,1.800183669,2.150465317,0.423831317,0.462148154,0.519106102
2.5,-0.123042812,1.370888263,1.541252488,0.599048729,1.027350378,0.997968887
3.75,-1.036201759,-0.219150359,0.130079428,0.097775295,0.617566331,0.521404229
5,-2.179432401,-1.878826947,-1.230813234,-1.785527294,-1.205222823,-1.124221974
6.25,-1.832299981,-1.558121949,-1.028012722,-2.099117502,-0.262142004,-0.370018191
7.5,-1.555066811,-1.875321744,-1.399880056,-1.471885384,0.007671068,0.622927879
8.75,-2.051327517,-2.688039403,-2.293385627,-0.60152204,-0.509697704,0.900355342
7.5,-0.132297808,-0.21486908,0.290480004,-0.429036494,0.298861228,0.717428984
6.25,0.698721112,1.154124655,1.252691445,1.676974731,1.937048761,1.768531822
5,0.178049941,1.425385883,1.764409436,0.897714098,1.981131636,2.191064996
3.75,0.729416184,1.958436426,1.731731188,1.523208572,1.764974796,1.497487206
2.5,-0.383311324,2.051599345,2.372173438,0.45766989,1.229865231,1.424669169
1.25,-1.167696403,1.833766292,2.43425672,0.253370367,0.453570814,0.656440204
0,-1.984769717,0.956361292,1.347013724,0.333806664,-0.142583941,-0.171328663
-1.25,-1.137410545,0.933566251,0.455563951,0.631858773,-0.526612101,-0.473954715
-2.5,1.412172635,0.917837769,1.105422731,-0.549752388,-0.893185868,-1.13357249
-3.75,2.574543457,1.964832144,1.813800916,-2.377470627,-2.250886101,-2.481992435
-5,1.934563745,1.981879331,1.670471289,-3.413428264,-3.339372308,-3.489854807
-6.25,0.889089534,1.687323485,1.063406813,-2.97324307,-4.16976335,-4.074617729
-7.5,0.40973192,1.283106954,0.619547478,0.299292616,-2.918678652,-2.965628023
-8.75,1.388266046,1.921971863,1.604576153,0.743286571,-2.322967808,-1.432769106
