nodes,layers,val_loss,val_mse
32,1,2.50828194718148E-05,2.50828194718148E-05
32,2,3.36213188347756E-05,3.36213188347756E-05
32,3,3.00039631665207E-05,3.00039631665207E-05
32,4,9.21637328290325E-05,9.21637328290325E-05
32,5,6.62057518638903E-05,6.62057518638903E-05
32,6,5.66352356968093E-05,5.66352356968093E-05
32,7,0.00848369517674049,0.00848369517674049
32,8,0.00848450573782126,0.00848450573782126
64,1,1.39832687377098E-05,1.39832687377098E-05
64,2,1.36562540492811E-05,1.36562540492811E-05
64,3,1.37170530121823E-05,1.37170530121823E-05
64,4,1.94178979611371E-05,1.94178979611371E-05
64,5,1.67634007517509E-05,1.67634007517509E-05
64,6,2.64238209031949E-05,2.64238209031949E-05
64,7,2.89126232278899E-05,2.89126232278899E-05
64,8,4.53821016240649E-05,4.53821016240649E-05
96,1,1.54923132175186E-05,1.54923132175186E-05
96,2,7.3704451919877E-06,7.3704451919877E-06
96,3,1.23355790449187E-05,1.23355790449187E-05
96,4,9.62198880318153E-06,9.62198880318153E-06
96,5,2.19499288072083E-05,2.19499288072083E-05
96,6,3.01149833224675E-05,3.01149833224675E-05
96,7,2.69742802499552E-05,2.69742802499552E-05
96,8,2.5850349543145E-05,2.5850349543145E-05
128,1,1.18794708950667E-05,1.18794708950667E-05
128,2,9.80981628474962E-06,9.80981628474962E-06
128,3,2.00024313753169E-05,2.00024313753169E-05
128,4,1.08095292229596E-05,1.08095292229596E-05
128,5,1.22636072860803E-05,1.22636072860803E-05
128,6,1.1674772806492E-05,1.1674772806492E-05
128,7,2.54998791379399E-05,2.54998791379399E-05
128,8,1.18034550463822E-05,1.18034550463822E-05
160,1,1.15884620191493E-05,1.15884620191493E-05
160,2,6.69328357530287E-06,6.69328357530287E-06
160,3,6.58681531041068E-06,6.58681531041068E-06
160,4,2.02574900911367E-05,2.02574900911367E-05
160,5,1.63917326885677E-05,1.63917326885677E-05
160,6,1.33215001456154E-05,1.33215001456154E-05
160,7,9.45626987101735E-06,9.45626987101735E-06
160,8,1.69877551213306E-05,1.69877551213306E-05
192,1,1.1134399301227E-05,1.1134399301227E-05
192,2,6.159787203398E-06,6.159787203398E-06
192,3,1.26947240373522E-05,1.26947240373522E-05
192,4,1.6710416091536E-05,1.6710416091536E-05
192,5,1.19761254197891E-05,1.19761254197891E-05
192,6,1.10734237880804E-05,1.10734237880804E-05
192,7,9.93350949145333E-06,9.93350949145333E-06
192,8,1.57925515807056E-05,1.57925515807056E-05
